description,calories,protein,carbs,fat
"Fajita, chicken with Rice, fried, with chicken with Cheese, processed cheese food",691.1,33.7,77.1,27.4
"Fish, salmon, fried with Rice, fried, with pork and Beans, liquid from stewed kidney beans",742.6,37.1,64.7,36.2
"Shrimp scampi with Chicken fillet wrap sandwich, fried, from fast food",402.0,24.4,19.3,24.7
"Soup, chicken noodle with Chicken salad sandwich wrap and Taco or tostada salad with chicken and sour cream with McDONALD'S, Cheeseburger",602.1,29.6,50.3,31.7
"Egg salad sandwich on white with Sushi roll, shrimp and Spinach souffle with Cheeseburger (McDonalds)",578.0,27.6,49.1,29.6
"Chicken fillet wrap sandwich, fried, from fast food with Turkey sandwich on white and Soup, bean, with meat",597.0,31.3,62.2,24.6
"Pastrami, turkey with Bread, pita, white, unenriched and Chicken or turkey garden salad, chicken and/or turkey, tomato and/or carrots, other vegetables, no dressing with Chicken or turkey, breaded, fried, garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",505.1,41.4,56.3,11.7
"Egg, whole, boiled or poached with Chicken fillet wrap sandwich, fried, from fast food and Chicken or turkey caesar garden salad, chicken and/or turkey, lettuce, tomato, cheese, no dressing with Seafood garden salad with seafood, lettuce, vegetables excluding tomato and carrots, no dressing",478.8,37.7,23.4,26.1
"Hamburger (Burger King) with Turkey sandwich wrap and CAMPBELL'S, Tomato Soup, condensed with Chicken or turkey, breaded, fried, garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",523.0,26.0,59.3,19.5
"Egg salad sandwich on white with Burrito bowl, beef or pork, with beans and rice and Pea salad",745.8,34.7,46.6,46.1
"Pastrami, turkey with Quinoa, fat added and Pea salad with Cheese, processed cheese food",683.4,29.8,47.9,41.1
Roast beef sandwich on wheat with Black beans and brown rice and Crab salad made with imitation crab,672.4,26.6,63.8,34.6
"Enchilada, chicken with Sushi roll, salmon and Black bean salad with Club sandwich on white, with cheese",510.6,28.0,53.4,20.9
"Shrimp with lobster sauce with Reuben sandwich and Asian chicken or turkey garden salad, chicken and/or turkey, lettuce, fruit, nuts, no dressing with Burrito, chicken, cheese",660.9,50.5,38.2,33.8
Ham sandwich wrap with Hamburger (Burger King),408.1,23.0,40.8,16.5
"Shrimp teriyaki with Quinoa, cooked and Fast foods, submarine sandwich, bacon, lettuce, and tomato on white bread with ON THE BORDER, cheese quesadilla",513.0,41.9,52.1,14.4
"Black bean sauce with Burrito bowl, chicken, with rice and Burrito bowl, chicken, with beans and rice with Grilled cheese sandwich, American cheese, on white bread",544.0,34.5,48.7,23.1
"Enchilada, chicken with Cheeseburger (Burger King) and Taco or tostada salad with chicken",712.6,37.4,63.5,34.5
"Hamburger slider with Turkey sandwich wrap and Chicken or turkey garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",491.9,33.7,34.8,23.5
"Chili with chicken with Meatball sandwich or sub and CAMPBELL'S, Tomato Soup, condensed with Caesar salad, with romaine, no dressing",389.6,29.3,39.3,12.4
"Rice bowl with chicken, frozen entree, prepared (includes fried, teriyaki, and sweet and sour varieties) with Grilled cheese sandwich, NFS and Tuna salad sandwich on white, with cheese",708.6,27.9,68.7,35.9
"Asian chicken or turkey garden salad, chicken and/or turkey, lettuce, fruit, nuts, no dressing with Salami sandwich on wheat",359.9,23.9,26.6,17.7
"Ham croquette with Pasta, vegetable, cooked and Burrito bowl, with beans",595.2,31.8,64.7,22.6
"Chicken or turkey with teriyaki with Reuben sandwich and Fast foods, submarine sandwich, bacon, lettuce, and tomato on white bread with Grilled cheese sandwich, cheddar cheese, on wheat bread",702.4,52.8,46.7,33.7
"Chicken or turkey with teriyaki with Hamburger slider with Grilled cheese sandwich, NFS",594.5,51.8,31.1,28.5
"Hamburger slider with Chicken fillet sandwich, fried, on wheat bun and CAMPBELL'S, Tomato Soup, condensed",578.9,30.3,56.1,25.3
"Shrimp scampi with Sushi roll, salmon",384.0,29.2,21.4,19.2
"Soup, chicken noodle with Grilled cheese sandwich, cheddar cheese, on wheat bread and Soup, bean, with meat",410.9,19.9,33.3,22.1
Tuna salad sandwich on wheat with Kidney beans and white rice,496.9,21.9,53.1,21.9
"Shrimp scampi with Turkey or chicken burger, on wheat bun",410.8,35.1,18.7,21.2
"Egg, whole, cooked, hard-boiled with Tuna salad sandwich on wheat and Kidney beans, NFS with Caesar salad, with romaine, no dressing",476.2,27.6,32.8,25.8
"Roast beef sandwich on wheat with Sushi roll, salmon and Beef salad",628.9,44.2,40.9,30.8
"Fajita, chicken with Bread, pita with Burrito, chicken, cheese",484.6,22.4,67.1,13.5
"Enchilada, chicken with Veggie burger, on bun, with cheese and Burrito bowl, chicken, with beans and rice with McDONALD'S, Cheeseburger",606.0,37.5,56.9,25.5
"Fish, salmon, grilled with Grilled cheese sandwich, cheddar cheese, on wheat bread with Macaroni or noodles with cheese, Easy Mac type",702.1,50.9,25.0,43.2
"Chicken, fried, with potatoes, vegetable, frozen meal with Macaroni or noodles with cheese, Easy Mac type and Fast foods, submarine sandwich, bacon, lettuce, and tomato on white bread with Tuna salad with cheese",583.2,28.8,66.9,22.3
"Shrimp, grilled with Turkey sandwich on wheat and Tuna salad sandwich on wheat, with cheese",575.5,46.8,41.0,24.2
"Egg burrito with Ham sandwich or sub, restaurant",409.7,22.1,39.3,18.0
Egg salad sandwich on white with Kidney beans and white rice,577.0,21.9,60.9,27.0
"Chicken or turkey garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing with Hamburger slider with McDONALD'S, Cheeseburger",570.9,40.8,35.7,29.0
"Burrito bowl, chicken, with beans and rice with Whopper (Burger King) and Macaroni or pasta salad with meat with Burrito, beef, cheese",721.9,41.0,61.8,33.9
"Black beans with meat with Bread, pita",356.7,15.6,58.7,6.4
"Soup, lentil with Hamburger (Burger King) and Fish, tuna salad",730.0,51.7,59.7,31.0
"Sushi, topped with tuna with Hamburger (Burger King) and Bacon, lettuce, tomato sandwich on white",647.6,39.1,75.7,19.6
"Fish, salmon, grilled with Bread, pita with fruit and Caesar salad, with romaine, no dressing with Cobb salad, no dressing",638.4,46.0,51.3,26.8
"Chickpeas, from canned, reduced sodium with Steak sandwich or sub on wheat with Egg, whole, cooked, hard-boiled",458.5,27.0,44.3,19.6
"Sushi roll, salmon with Club sandwich on white and Taco or tostada salad with chicken and sour cream with ON THE BORDER, cheese quesadilla",603.8,32.7,60.0,25.5
"Tuna salad with egg with Rice, fried, with chicken",493.6,23.9,40.6,26.2
"Black beans, NFS with Cheeseburger, NFS and Greek Salad, no dressing",635.7,35.1,54.5,30.8
"Black bean salad with Hamburger, NFS and Pea salad with Seafood garden salad with seafood, lettuce, vegetables excluding tomato and carrots, no dressing",720.0,26.9,52.1,44.7
"Chicken wing, grilled without sauce with Sushi roll, California",401.9,28.9,21.4,21.1
"Ham with Grilled cheese sandwich, American cheese, on white bread and Chicken or turkey garden salad, chicken and/or turkey, tomato and/or carrots, other vegetables, no dressing",446.0,34.3,28.7,21.7
"Shrimp, fried with Sushi roll, California and Kidney beans with meat with Club sandwich on white, with cheese",518.5,28.3,48.9,22.8
"Ham stroganoff with Macaroni or pasta salad with cheese and Black beans, NFS with Chicken or turkey caesar garden salad, chicken and/or turkey, lettuce, tomato, cheese, no dressing",687.9,26.5,58.4,38.6
"Asian chicken or turkey garden salad, chicken and/or turkey, lettuce, fruit, nuts, no dressing with Chicken fillet wrap sandwich, grilled, from fast food and Seafood garden salad with seafood, lettuce, vegetables excluding tomato and carrots, no dressing",399.4,38.3,27.3,14.9
Chicken or turkey salad with egg with Cheeseburger (Burger King),480.9,27.5,22.6,31.0
"Nachos, chicken with Soup, chicken noodle, canned, condensed and Taco or tostada salad with chicken with Grilled cheese sandwich, cheddar cheese, on wheat bread",686.7,31.5,62.1,35.2
"Turkey, dark meat, roasted, skin not eaten with Quinoa, cooked and Pea salad",662.9,50.0,49.0,28.9
"Taco or tostada salad with chicken and sour cream with Burrito bowl, beef or pork, with rice and Black bean sauce",709.4,36.4,62.3,34.7
"Burrito bowl, chicken, with beans and rice with Burrito bowl, beef or pork, with beans and rice with Grilled cheese sandwich, American cheese, on white bread",502.9,34.6,35.1,24.4
"Ham, turkey, sliced, extra lean, prepackaged or deli with Roll, white, hoagie, submarine and Kidney beans, NFS with Spinach salad, no dressing",615.0,39.7,74.1,17.5
"Turkey sandwich on wheat with Sushi roll, salmon and Lobster salad with Seafood garden salad with seafood, lettuce, vegetables excluding tomato and carrots, no dressing",703.5,44.6,47.9,36.0
"Chicken or turkey with teriyaki with Fast foods, submarine sandwich, bacon, lettuce, and tomato on white bread",360.6,37.5,25.1,12.2
"Chicken tenders or strips, breaded, from restaurant with Bread, pita with fruit",601.6,33.0,64.9,23.5
"Black beans and brown rice with Bread, pita, white, unenriched and Chicken or turkey garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing with Cheeseburger, NFS",536.6,29.3,69.6,15.3
Shrimp scampi with Cheeseburger slider,491.7,33.4,21.0,29.4
"Fish, tuna, cooked with Italian sandwich or sub, restaurant and Taco or tostada salad with meat",693.4,62.7,32.6,33.3
"Soup, lentil, canned, reduced sodium with Macaroni or pasta salad with meat and Chicken or turkey garden salad, chicken and/or turkey, tomato and/or carrots, other vegetables, no dressing",468.9,31.9,43.6,18.5
"Chicken fillet, grilled with Rice, fried, with pork and Greek Salad, no dressing",472.0,37.5,47.1,14.6
Sushi roll tuna with Chicken salad sandwich on white and Lobster salad,605.7,35.0,33.2,36.0
"Fish, tuna, NFS with Chicken fillet wrap sandwich, fried, from fast food and Nachos, with beans",419.0,35.2,29.0,18.2
"Bologna, turkey with Club sandwich on wheat and Chicken or turkey, breaded, fried, garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing with Chicken or turkey, breaded, fried, garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",667.4,40.4,37.1,39.5
"Macaroni or pasta salad with egg with Sushi roll, California and Black bean sauce with Macaroni or noodles with cheese, Easy Mac type",530.9,16.2,64.8,23.0
"Fish, tofu, and vegetables, tempura with Bread, pita with fruit and Soup, cream of tomato",475.7,12.1,59.4,21.5
"Ham sandwich or sub, restaurant with Burrito bowl, chicken, with rice with Peanuts, boiled",474.1,35.1,48.2,15.4
"Turkey with gravy with Macaroni or pasta salad with cheese with Cheeseburger, NFS",653.4,39.0,45.5,33.9
"Bologna, turkey with Sandwich wrap, NFS",499.1,27.3,26.9,31.0
"Ham croquette with Soup, chicken noodle, canned and Black beans, NFS",404.9,23.8,24.3,23.5
"Shrimp cocktail with BURGER KING, Cheeseburger",451.0,30.5,37.1,19.8
Shrimp teriyaki with Sushi roll tuna and Taco or tostada salad with chicken,505.6,49.0,45.2,13.1
"Sushi, topped with tuna with Soup, chicken noodle, canned, condensed and Soup, bean with Cheeseburger, NFS",352.4,25.5,43.2,7.8
"Fish, tuna salad with Chicken fillet wrap sandwich, grilled, from fast food and Asian chicken or turkey garden salad, chicken and/or turkey, lettuce, fruit, nuts, no dressing",545.0,46.4,34.3,24.3
"Burrito bowl, chicken, with rice with Bread, pita with fruit and Black beans and brown rice with Grilled cheese sandwich, American cheese, on white bread",715.2,31.5,108.3,17.3
"Turkey, dark meat, roasted, skin not eaten with Hamburger (McDonalds) with Asian chicken or turkey garden salad, chicken and/or turkey, lettuce, fruit, nuts, no dressing",528.1,53.6,32.1,19.8
"Turkey, light meat, roasted, skin eaten with Bacon, lettuce, tomato sandwich on white and Macaroni or pasta salad with shrimp with Tuna salad sandwich on white, with cheese",690.8,50.7,55.9,28.4
"Macaroni or pasta salad with chicken with BURGER KING, Cheeseburger and Seafood garden salad with seafood, lettuce, vegetables excluding tomato and carrots, no dressing",651.4,35.1,56.8,31.3
"Bologna, turkey with Steak sandwich or sub on wheat and Soup, tomato, canned with Cheeseburger, NFS",574.7,34.9,34.9,32.5
"Egg burrito with Turkey and ham sandwich on wheat and Fish, tuna salad",622.0,41.9,48.2,28.5
"Salmon salad with Macaroni or pasta salad with egg and Greek Salad, no dressing",696.3,27.2,46.4,44.2
"Turkey ham, prepackaged or deli, luncheon meat with Chicken, meatless, breaded, fried",351.7,38.8,10.6,16.6
"Turkey, all classes, breast, meat and skin, raw with Rice, fried, with chicken and Spinach souffle with Caesar salad, with romaine, no dressing",482.3,36.1,42.1,18.1
"Fish, tuna, NFS with Tuna salad sandwich on wheat, with cheese and Kidney beans and brown rice with Egg, whole, cooked, hard-boiled",463.7,41.4,35.0,17.7
"Quesadilla, chicken with Sushi roll tuna",419.1,24.2,47.3,14.0
"Veggie burger patty, no bun with Club sandwich on white and Soup, pepperpot with Grilled cheese sandwich, cheddar cheese, on wheat bread",553.7,35.4,46.8,24.8
"Fish, tuna, cooked with Soup, chicken noodle and Greek Salad, no dressing with Peanuts, boiled",487.8,58.1,21.5,18.0
Salmon salad with Chicken salad sandwich on wheat and Black beans with meat,621.3,33.5,33.5,39.2
"Turkey and ham sandwich on white with Rice, fried, meatless and Spinach salad, no dressing",565.5,32.7,69.2,17.0
"Fish, tofu, and vegetables, tempura with Flavored pasta",356.2,8.7,25.5,24.6
"Roast beef sandwich on wheat with Cheeseburger (Burger King) with Spinach salad, no dressing",478.0,30.2,47.1,18.0
"Turkey, dark meat, roasted, skin eaten with Fish wrap sandwich and Kidney beans with meat",707.5,60.9,41.4,32.8
"Ham, ground with Rice, fried, with pork with Tuna salad with cheese",433.7,28.8,37.5,18.0
"Ham stroganoff with Italian sandwich or sub, restaurant and Soup, bean, with meat",474.6,26.6,28.4,28.1
"Soup, lentil, canned with Macaroni or pasta salad with egg and Burrito bowl, chicken, with beans with Burrito, chicken, cheese",650.7,31.9,64.2,29.5
"Turkey, prepackaged or deli, luncheon meat, reduced sodium with Cheeseburger (McDonalds)",464.8,34.3,34.7,20.7
"Tuna salad sandwich on white with Cheeseburger, NFS with Greek Salad, no dressing",593.3,32.1,42.8,32.1
"Chicken, meatless, breaded, fried with Veggie burger patty, no bun",504.1,45.4,27.1,23.8
"Sushi roll, shrimp with Kidney beans and white rice and Spinach salad, no dressing",535.5,30.7,61.8,17.5
"Chicken salad sandwich wrap with Roll, multigrain",664.8,28.2,75.9,28.6
"Turkey, drumstick, roasted, skin not eaten with Pasta, cooked and Chicken or turkey, breaded, fried, garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing with Burrito, cheese only",693.2,54.2,66.9,22.7
"Chicken fillet sandwich, fried, on wheat bun with Bread, pita with fruit with Chicken or turkey garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",553.9,24.1,79.9,15.4
"Turkey, retail parts, breast, meat and skin, raw with Meatball sandwich or sub and Spinach, raw",388.5,41.5,17.3,16.7
"WENDY'S, Ultimate Chicken Grill Sandwich with Chicken tenders or strips, breaded, from restaurant",424.5,31.9,36.2,17.0
"Bologna, turkey with Chicken salad sandwich on white with Cobb salad, no dressing",437.6,24.4,20.1,28.8
"Rice bowl with chicken, frozen entree, prepared (includes fried, teriyaki, and sweet and sour varieties) with Hamburger slider with Caesar salad, with romaine, no dressing",531.8,30.2,52.9,21.4
"Soup, lentil with Burrito bowl, beef or pork, with rice and Spinach salad, no dressing with Nachos, cheese only",560.2,34.3,45.1,26.4
"Egg salad sandwich on wheat with Club sandwich or sub, restaurant and Burrito bowl, with beans",594.5,31.7,48.0,30.5
"Chickpeas, from canned, no added fat with Rice, fried, NFS and Macaroni or pasta salad with egg",615.3,18.5,87.9,21.5
"Egg burrito with Turkey sandwich on wheat with Chicken or turkey, breaded, fried, garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",461.3,24.8,45.0,19.9
"Turkey, drumstick, roasted, skin not eaten with Grilled cheese sandwich, American cheese, on white bread and Soup, tomato, canned",423.6,45.0,22.1,17.5
"Macaroni or pasta salad with chicken with Macaroni or noodles with cheese, Easy Mac type and Asian chicken or turkey garden salad, chicken and/or turkey, lettuce, fruit, nuts, no dressing with BURGER KING, Cheeseburger",720.9,34.8,79.0,29.8
"Turkey, prepackaged or deli, luncheon meat, reduced sodium with Club sandwich on wheat and Macaroni or pasta salad with egg",521.8,35.6,42.3,22.5
"Tuna salad with egg with Chicken tenders or strips, breaded, from restaurant and Burrito bowl, with beans",536.6,32.6,29.8,32.3
"Burrito, chicken, cheese with Falafel sandwich",553.8,23.8,61.2,23.4
"Hamburger, NFS with Hamburger (McDonalds) and Taco or tostada salad, meatless",673.2,32.0,68.1,30.1
"Chicken salad sandwich on wheat with Sushi roll, shrimp",401.8,23.5,38.6,16.5
"Chickpeas, from canned, fat added with Chicken fillet sandwich, fried, on wheat bun and Taco or tostada salad with chicken with Seafood garden salad with seafood, lettuce, vegetables excluding tomato and carrots, no dressing",681.2,32.1,69.2,31.6
"Enchilada, chicken with Quinoa, fat added with BURGER KING, Cheeseburger",529.6,24.3,53.8,24.5
"Quesadilla, egg with Chicken fillet wrap sandwich, fried, from fast food and Greek Salad, no dressing",517.2,23.2,42.5,28.1
"Chili with chicken with Chicken fillet wrap sandwich, fried, from fast food and Spinach souffle",368.9,25.8,22.1,19.7
"Chickpeas, from canned, no added fat with Hamburger, NFS and Black beans, NFS with Club sandwich on wheat, with cheese",664.4,38.4,66.4,27.3
"Chicken, meatless, breaded, fried with Chicken salad sandwich on wheat and Nachos, with beans",559.3,34.3,36.9,30.8
"Egg, whole, cooked, hard-boiled with Italian sandwich or sub, restaurant and Burrito bowl, beef or pork, with beans and rice",508.4,33.3,20.6,31.7
"Chickpeas, from canned, fat added with Vegetable sandwich wrap and Kidney beans and brown rice",493.9,18.6,60.9,20.3
"Turkey, dark meat, roasted, skin not eaten with Sushi roll, California and Kidney beans and brown rice",507.4,44.5,49.7,13.6
"Chicken or turkey, breaded, fried, garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing with Chicken fillet sandwich, NFS and Spinach, creamed",490.8,21.3,37.9,27.9
"Chicken or turkey garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing with Burrito bowl, beef or pork, with beans and rice and Fast foods, submarine sandwich, bacon, lettuce, and tomato on white bread with Egg, whole, cooked, hard-boiled",550.1,40.0,40.0,25.1
Turkey sandwich on wheat with Black beans and brown rice,438.4,23.5,61.4,11.0
"Turkey and ham sandwich on white with Veggie burger, on bun, with cheese and Soup, tomato, canned with Chicken or turkey caesar garden salad, chicken and/or turkey, lettuce, tomato, cheese, no dressing",497.8,33.3,60.9,13.2
"Salami, cooked, turkey with Reuben sandwich and Soup, bean, with meat with Cheese, processed cheese food",634.7,44.6,29.2,36.8
"Tuna salad sandwich on wheat, with cheese with Pasta, cooked and Soup, tomato",530.7,22.5,73.7,15.9
"Turkey, light meat, roasted, skin eaten with Club sandwich on wheat and Soup, tomato with Egg, whole, cooked, hard-boiled",390.6,46.8,17.4,14.1
"Turkey ham, prepackaged or deli, luncheon meat with McDONALD'S, Cheeseburger with Macaroni or noodles with cheese, Easy Mac type",459.7,33.8,40.4,18.3
"Burrito bowl, chicken, with beans and rice with McDONALD'S, Cheeseburger and Kidney beans and white rice",674.4,39.3,72.6,25.8
"Soup, lentil, with meat with Bread, pita and Lobster salad",517.7,25.6,56.1,20.7
"Tuna salad sandwich on white with Macaroni or pasta salad with shrimp and Caesar salad, with romaine, no dressing",705.4,28.7,66.7,35.7
"Turkey and ham sandwich on white with Sandwich wrap, NFS with Tuna salad with cheese",510.0,33.2,52.7,17.9
"Chicken fillet wrap sandwich, grilled, from fast food with Fish wrap sandwich and CAMPBELL'S, Tomato Soup, condensed",651.2,41.9,61.3,25.6
"Ham with Fast foods, submarine sandwich, bacon, lettuce, and tomato on white bread and Black bean salad with Tuna salad sandwich on white, with cheese",375.9,25.5,36.4,14.7
"Tuna salad sandwich on wheat with Roll, multigrain and Fast foods, submarine sandwich, bacon, lettuce, and tomato on white bread",713.0,31.6,90.8,25.8
"Ham stroganoff with Grilled cheese sandwich, American cheese, on wheat bread and Soup, tomato, canned with Seafood garden salad with seafood, lettuce, tomato and/or carrots, other vegetables, no dressing",435.1,19.0,32.5,25.6
"Lomi salmon with Rice, fried, with beef and Chicken salad spread with Chicken or turkey, breaded, fried, garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",703.5,42.4,62.2,31.4
"Burrito, chicken, cheese with Tuna salad sandwich on white, with cheese and Burrito bowl, with beans",650.3,35.3,68.1,26.3
"Shrimp, grilled with Soup, chicken noodle, canned, condensed and Taco or tostada salad with chicken",512.1,38.5,40.5,21.5
"Ham, turkey, sliced, extra lean, prepackaged or deli with Burrito bowl, beef or pork, with rice with Greek Salad, no dressing",418.0,41.5,20.5,18.4
"Salami, cooked, turkey with Cheeseburger, NFS and Soup, pepperpot with Club sandwich on white, with cheese",684.9,50.5,33.8,37.2
"Burrito bowl, chicken, with rice with Ham sandwich or sub, restaurant and Taco or tostada salad, meatless",657.7,37.8,74.1,23.2
"Chicken fillet sandwich, fried, on wheat bun with Egg salad sandwich on wheat and Black beans, NFS with Chicken or turkey garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",609.0,29.4,55.9,29.8
"Quesadilla, egg with Turkey sandwich on wheat and Crab salad made with imitation crab with Peanuts, boiled",724.7,28.3,53.8,44.2
"Ramen bowl with chicken with Macaroni or pasta salad with shrimp with McDONALD'S, Cheeseburger",578.6,24.2,62.9,25.2
"Turkey with gravy with Soup, chicken noodle and Black bean salad",364.7,37.5,26.8,11.5
"Veggie burger patty, no bun with Roll, multigrain and Kidney beans and white rice",539.9,30.1,72.0,15.3
"Shrimp with lobster sauce with Bacon, lettuce, tomato sandwich on white and Black beans, NFS",518.7,35.9,44.7,21.4
"Macaroni or pasta salad with chicken with Tuna salad sandwich on white, with cheese and Crab salad",612.5,26.9,37.6,39.0
"Pastrami, turkey with Grilled cheese sandwich, cheddar cheese, on white bread with Burrito, beef, cheese",495.6,33.2,30.4,26.0
"Turkey, prepackaged or deli, luncheon meat, reduced sodium with Grilled cheese sandwich, American cheese, on wheat bread",421.7,29.8,24.3,22.2
"Soup, chicken noodle with Chicken fillet wrap sandwich, grilled, from fast food and Lobster salad",545.7,37.9,25.9,31.3
"Soup, chicken noodle with Sushi roll, vegetable and Tuna salad sandwich wrap",642.3,27.6,58.7,32.7
"Turkey sandwich on wheat with Sushi roll, California with Asian chicken or turkey garden salad, chicken and/or turkey, lettuce, fruit, nuts, no dressing",361.1,22.5,51.2,6.9
"Roast beef sandwich on wheat with Steak sandwich or sub on wheat with Burrito, cheese only",489.1,33.7,50.2,16.5
"Turkey sandwich on wheat with Turkey sandwich on white and Soup, tomato with Cheeseburger (Burger King)",499.9,32.1,65.2,12.0
"Turkey sandwich on white with Burrito bowl, chicken, with beans and rice",436.6,33.6,46.4,12.5
"Fish, tuna, canned with Macaroni or pasta salad with chicken",405.3,32.5,30.7,16.7
"Burrito bowl, chicken with Egg salad sandwich on white and Black bean sauce",562.6,38.0,30.4,31.8
"Turkey, prepackaged or deli, luncheon meat with Egg salad sandwich on wheat and Chicken or turkey, breaded, fried, garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing with Cheeseburger, NFS",695.2,49.3,34.3,39.1
"Chicken fillet sandwich, NFS with Bread, pita, white, unenriched with Seafood garden salad with seafood, lettuce, vegetables excluding tomato and carrots, no dressing",534.5,22.4,69.6,18.0
"Veggie burger, on bun with Veggie burger, on bun, with cheese and Soup, cream of tomato",500.2,26.9,59.9,16.7
"Turkey and ham sandwich on wheat with Roast beef sandwich on wheat and Seafood garden salad with seafood, lettuce, vegetables excluding tomato and carrots, no dressing",398.8,36.9,43.6,8.0
"Chili with chicken with Quinoa, no added fat with Cheeseburger (Burger King)",384.3,29.2,40.5,11.4
"Turkey, drumstick, roasted, skin not eaten with Quinoa, no added fat and Macaroni or pasta salad with meat with Chicken or turkey garden salad, chicken and/or turkey, tomato and/or carrots, other vegetables, no dressing",723.8,56.3,67.0,25.3
"Egg, whole, cooked, hard-boiled with Macaroni or pasta salad with egg and Black bean salad with Cheeseburger (McDonalds)",693.0,26.7,63.7,36.8
"Tuna salad with cheese with Fast foods, submarine sandwich, bacon, lettuce, and tomato on white bread and Kidney beans, NFS",592.9,29.4,45.9,32.9
"BURGER KING, Hamburger with Bread, pita, white, unenriched and Tuna salad with egg",687.4,33.4,62.8,33.4
"Veggie burger, on bun with Fast foods, submarine sandwich, bacon, lettuce, and tomato on white bread and Spinach, creamed",445.0,22.3,55.1,14.7
Tuna salad with egg with Cheeseburger slider,571.0,33.3,24.7,37.0
"Chicken wing, grilled without sauce with Tuna salad sandwich on wheat and Spinach, raw",584.0,44.1,17.9,36.3
"Turkey or chicken burger, on wheat bun with BURGER KING, Chicken Strips with Caesar salad, with romaine, no dressing",542.9,41.5,41.9,23.2
Turkey and ham sandwich on white with Turkey and ham sandwich on wheat and Chicken salad sandwich on wheat,585.8,38.6,55.6,23.0
"Salami, cooked, turkey with Veggie burger, on bun, with cheese with Spinach salad, no dressing",452.0,37.0,29.2,19.8
"Chicken fillet, grilled with Tuna salad sandwich on wheat and Egg salad sandwich on wheat with Asian chicken or turkey garden salad, chicken and/or turkey, lettuce, fruit, nuts, no dressing",630.0,45.8,34.0,34.4
"Rice bowl with chicken, frozen entree, prepared (includes fried, teriyaki, and sweet and sour varieties) with Chicken salad sandwich on wheat and Soup, tomato, canned",404.4,19.1,48.3,15.3
"Black bean salad with Club sandwich on wheat, with cheese and Kidney beans, NFS",442.4,24.1,45.8,18.6
"Chili with chicken with Burrito bowl, chicken, with beans and rice and Soup, bean, canned with Chicken or turkey garden salad, chicken and/or turkey, tomato and/or carrots, other vegetables, no dressing",390.7,40.5,26.1,13.6
"Egg burrito with Cuban sandwich and Soup, bean, canned with Cobb salad, no dressing",499.4,27.4,42.1,24.4
"Ham, turkey, sliced, extra lean, prepackaged or deli with Cheeseburger (McDonalds) and Soup, bean with Chicken or turkey garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",539.0,44.9,38.6,23.2
"Ham, ground with Macaroni or pasta salad with cheese and Burrito bowl, chicken, with beans with Cheeseburger (Burger King)",719.1,43.9,48.4,38.1
"Turkey, all classes, breast, meat and skin, raw with Cheeseburger (McDonalds) with Cheeseburger (Burger King)",612.2,46.7,40.6,28.6
"Veggie burger, on bun, with cheese with Soup, chicken noodle and Spinach, creamed",374.9,21.1,39.9,14.2
"Fajita, shrimp with Turkey and ham sandwich on white and Crab salad made with imitation crab",641.5,23.6,46.5,39.9
"Soup, lentil with Grilled cheese sandwich, American cheese, on wheat bread and Taco or tostada salad with chicken with Seafood garden salad with seafood, lettuce, tomato and/or carrots, other vegetables, no dressing",668.9,30.1,64.3,33.0
"Fish, salmon, grilled with Whopper (Burger King) with Nachos, cheese only",696.6,49.7,29.2,41.4
"Turkey, all classes, breast, meat and skin, raw with Rice, fried, NFS and Burrito bowl, with beans",630.5,46.3,67.9,18.7
